OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
cisco3620,1.3.6.1.4.1.9.1.122,,,objectidentity,,""
ciscoPro3620,1.3.6.1.4.1.9.1.123,,,objectidentity,,""
ciscoPro3640,1.3.6.1.4.1.9.1.124,,,objectidentity,,""
cisco7204,1.3.6.1.4.1.9.1.125,,,objectidentity,,""
cisco771,1.3.6.1.4.1.9.1.126,,,objectidentity,,""
cisco772,1.3.6.1.4.1.9.1.127,,,objectidentity,,""
cisco775,1.3.6.1.4.1.9.1.128,,,objectidentity,,""
cisco776,1.3.6.1.4.1.9.1.129,,,objectidentity,,""
ciscoPro2502,1.3.6.1.4.1.9.1.130,,,objectidentity,,""
ciscoPro2504,1.3.6.1.4.1.9.1.131,,,objectidentity,,""
ciscoPro2506,1.3.6.1.4.1.9.1.132,,,objectidentity,,""
ciscoPro2508,1.3.6.1.4.1.9.1.133,,,objectidentity,,""
ciscoPro2510,1.3.6.1.4.1.9.1.134,,,objectidentity,,""
ciscoPro2512,1.3.6.1.4.1.9.1.135,,,objectidentity,,""
ciscoPro2513,1.3.6.1.4.1.9.1.136,,,objectidentity,,""
ciscoPro2515,1.3.6.1.4.1.9.1.137,,,objectidentity,,""
ciscoPro2517,1.3.6.1.4.1.9.1.138,,,objectidentity,,""
ciscoPro2518,1.3.6.1.4.1.9.1.139,,,objectidentity,,""
ciscoPro2523,1.3.6.1.4.1.9.1.140,,,objectidentity,,""
ciscoPro2525,1.3.6.1.4.1.9.1.141,,,objectidentity,,""
ciscoPro4700,1.3.6.1.4.1.9.1.142,,,objectidentity,,""
ciscoPro316T,1.3.6.1.4.1.9.1.147,,,objectidentity,,""
ciscoPro316C,1.3.6.1.4.1.9.1.148,,,objectidentity,,""
ciscoPro3116,1.3.6.1.4.1.9.1.149,,,objectidentity,,""
catalyst116T,1.3.6.1.4.1.9.1.150,,,objectidentity,,""
catalyst116C,1.3.6.1.4.1.9.1.151,,,objectidentity,,""
catalyst1116,1.3.6.1.4.1.9.1.152,,,objectidentity,,""
ciscoAS2509RJ,1.3.6.1.4.1.9.1.153,,,objectidentity,,""
ciscoAS2511RJ,1.3.6.1.4.1.9.1.154,,,objectidentity,,""
ciscoMC3810,1.3.6.1.4.1.9.1.157,,,objectidentity,,""
cisco1503,1.3.6.1.4.1.9.1.160,,,objectidentity,,""
cisco1502,1.3.6.1.4.1.9.1.161,,,objectidentity,,""
ciscoAS5300,1.3.6.1.4.1.9.1.162,,,objectidentity,,""
ciscoLS1015,1.3.6.1.4.1.9.1.164,,,objectidentity,,""
cisco2501FRADFX,1.3.6.1.4.1.9.1.165,,,objectidentity,,""
cisco2501LANFRADFX,1.3.6.1.4.1.9.1.166,,,objectidentity,,""
cisco2502LANFRADFX,1.3.6.1.4.1.9.1.167,,,objectidentity,,""
ciscoWSX5302,1.3.6.1.4.1.9.1.168,,,objectidentity,,""
ciscoFastHub216T,1.3.6.1.4.1.9.1.169,,,objectidentity,,""
catalyst2908xl,1.3.6.1.4.1.9.1.170,,,objectidentity,,""
catalyst2916mxl,1.3.6.1.4.1.9.1.171,,,objectidentity,,""
cisco1605,1.3.6.1.4.1.9.1.172,,,objectidentity,,""
cisco12012,1.3.6.1.4.1.9.1.173,,,objectidentity,,""
catalyst1912C,1.3.6.1.4.1.9.1.175,,,objectidentity,,""
ciscoMicroWebServer2,1.3.6.1.4.1.9.1.176,,,objectidentity,,""
ciscoFastHubBMMTX,1.3.6.1.4.1.9.1.177,,,objectidentity,,""
ciscoFastHubBMMFX,1.3.6.1.4.1.9.1.178,,,objectidentity,,""
ciscoUBR7246,1.3.6.1.4.1.9.1.179,,,objectidentity,,""
cisco6400,1.3.6.1.4.1.9.1.180,,,objectidentity,,""
cisco12004,1.3.6.1.4.1.9.1.181,,,objectidentity,,""
cisco12008,1.3.6.1.4.1.9.1.182,,,objectidentity,,""
catalyst2924XL,1.3.6.1.4.1.9.1.183,,,objectidentity,,""
catalyst2924CXL,1.3.6.1.4.1.9.1.184,,,objectidentity,,""
cisco2610,1.3.6.1.4.1.9.1.185,,,objectidentity,,""
cisco2611,1.3.6.1.4.1.9.1.186,,,objectidentity,,""
cisco2612,1.3.6.1.4.1.9.1.187,,,objectidentity,,""
ciscoAS5800,1.3.6.1.4.1.9.1.188,,,objectidentity,,""
ciscoSC3640,1.3.6.1.4.1.9.1.189,,,objectidentity,,""
cisco8510,1.3.6.1.4.1.9.1.190,,,objectidentity,,""
ciscoUBR904,1.3.6.1.4.1.9.1.191,,,objectidentity,,""
cisco6200,1.3.6.1.4.1.9.1.192,,,objectidentity,,""
cisco7202,1.3.6.1.4.1.9.1.194,,,objectidentity,,""
cisco2613,1.3.6.1.4.1.9.1.195,,,objectidentity,,""
cisco8515,1.3.6.1.4.1.9.1.196,,,objectidentity,,""
catalyst9006,1.3.6.1.4.1.9.1.197,,,objectidentity,,""
catalyst9009,1.3.6.1.4.1.9.1.198,,,objectidentity,,""
ciscoRPM,1.3.6.1.4.1.9.1.199,,,objectidentity,,""
cisco1710,1.3.6.1.4.1.9.1.200,,,objectidentity,,""
cisco1720,1.3.6.1.4.1.9.1.201,,,objectidentity,,""
catalyst8540msr,1.3.6.1.4.1.9.1.202,,,objectidentity,,""
catalyst8540csr,1.3.6.1.4.1.9.1.203,,,objectidentity,,""
cisco7576,1.3.6.1.4.1.9.1.204,,,objectidentity,,""
cisco3660,1.3.6.1.4.1.9.1.205,,,objectidentity,,""
cisco1401,1.3.6.1.4.1.9.1.206,,,objectidentity,,""
cisco2620,1.3.6.1.4.1.9.1.208,,,objectidentity,,""
cisco2621,1.3.6.1.4.1.9.1.209,,,objectidentity,,""
ciscoUBR7223,1.3.6.1.4.1.9.1.210,,,objectidentity,,""
cisco6400Nrp,1.3.6.1.4.1.9.1.211,,,objectidentity,,""
cisco801,1.3.6.1.4.1.9.1.212,,,objectidentity,,""
