2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/tagger/collectors/workloadmeta_main.go:115 in stream) | workloadmeta tagger collector started
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:127 in LogMessage) | - | (ddyaml.py:143) | monkey patching yaml.load...
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:127 in LogMessage) | - | (ddyaml.py:147) | monkey patching yaml.load_all...
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:127 in LogMessage) | - | (ddyaml.py:151) | monkey patching yaml.dump_all... (affects all yaml dump operations)
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/collector/collector.go:56 in NewCollector) | Embedding Python 3.8.14 (default, Dec  9 2022, 09:59:11) [GCC 5.4.0 20160609]
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/collector/collector.go:57 in NewCollector) | Python Home: /opt/datadog-agent/embedded
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/collector/collector.go:58 in NewCollector) | Python path: ['/opt/datadog-agent/embedded/lib/python38.zip', '/opt/datadog-agent/embedded/lib/python3.8', '/opt/datadog-agent/embedded/lib/python3.8/lib-dynload', '/opt/datadog-agent/embedded/lib/python3.8/site-packages', '/opt/datadog-agent/embedded/lib/python3.8/site-packages/setuptools-40.9.0.post20221209-py3.8.egg', '/opt/datadog-agent/embedded/lib/python3.8/site-packages/pip-21.3.1-py3.8.egg', '/opt/datadog-agent/bin/agent/dist', '/opt/datadog-agent/checks.d', '/opt/datadog-agent/bin/agent/dist/checks.d', '/etc/datadog-agent/checks.d']
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/collector/collector.go:66 in NewCollector) | Collector up and running!
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/autodiscovery/providers/config_reader.go:172 in read) | Searching for configuration files at: /etc/datadog-agent/conf.d
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/activemq.d/metrics.yaml
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/apache.d/auto_conf.yaml
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/cassandra.d/metrics.yaml
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/cert_manager.d/auto_conf.yaml
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/cilium.d/auto_conf.yaml
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/confluent_platform.d/metrics.yaml
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/consul.d/auto_conf.yaml
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/container.d/conf.yaml.default
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
